type_acci;date;heure;commune;luminosite_accident;cond_atmos;Intersection;categorie_route;type_collision;type_vehicule_1;manoeuvre_vehicule_1;type_vehicule_2;age_usager;sexe_usager;gravite_usager;etat_usager;nombre_usagers;nb_veh;nombre_pietons;nombre_motos;nombre_vl;nombre_pl;age_usa1_categ;accident_pieton;accident_moto;categorie_vl;accident_pl;categorie_age;categorie_usagers
Leger;12/07/2014;13:25;Le Plessis-Robinson;Plein jour;Autre;Intersection en T;Route departementale;Collision par le cote;VL seul;TourNon renseignee nt A'auche;Motocyclette > 125 cm3;66;Feminin;Indemne;Non renseignee ;2;2;0;1;1;0;Senior (65+);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Senior (65+);2 usagers
Leger;11/03/2014;09:30;Clichy;Plein jour;Autre;Intersection en X;Route departementale;Collision par le cote;VL seul;TourNon renseignee nt A'auche;Scooter > 50 cm3 et <= 125 cm3;30;Masculin;Blessee Leger;Non renseignee ;3;2;0;1;1;0;Adulte jeune (25-34);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Adulte jeune (25-34);3-5 usagers
Leger;06/06/2014;18:30;Clichy;Plein jour;Autre;Intersection en Y;Route departementale;Collision par le cote;Scooter > 50 cm3 et <= 125 cm3;Sans changement de direction;VL seul;38;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Adulte (35-49);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;22/01/2020;08:30;Villeneuve-la-Garenne;Plein jour;Normale;Autre intersection;Route departementale;Non renseignee ;Non renseignee ;Sans changement de direction;Non renseignee ;47;Feminin;Blessee Leger;Non renseignee ;4;3;0;0;3;0;Adulte (35-49);Sans pieton;Sans moto;3 VL ou plus;Sans poids lourd;Adulte (35-49);3-5 usagers
Leger;12/04/2019;20:25;Colombes;Crepuscule ou aube;Normale;Hors intersection;Route departementale;Non renseignee ;Scooter < 50 cm3;Sans changement de direction;Non renseignee ;43;Masculin;Blessee Leger;Non renseignee ;2;2;0;0;1;0;Adulte (35-49);Sans pieton;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;28/09/2014;18:20;Courbevoie;Plein jour;Autre;Hors intersection;Route departementale;Collisions multiples;VL seul;Ouverture de porte;Motocyclette > 50 cm3 et <= 125 cm3;48;Masculin;Indemne;Non renseignee ;3;3;0;1;2;0;Adulte (35-49);Sans pieton;Avec moto;2 VL;Sans poids lourd;Adulte (35-49);3-5 usagers
Leger;29/04/2021;13:55;Colombes;Plein jour;Normale;Hors intersection;Route departementale;Non renseignee ;Non renseignee ;Traversant la  chaussee;3RM > 125 cm3;54;Masculin;Blessee Leger;Non renseignee ;3;2;0;1;1;0;Senior actif (50-64);Sans pieton;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);3-5 usagers
Leger;16/06/2015;18:50;Puteaux;Plein jour;Autre;Intersection en T;Voie commuNon renseignee le;Collision frontale;VL seul;TourNon renseignee nt A'auche;Motocyclette > 50 cm3 et <= 125 cm3;57;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Senior actif (50-64);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;12/11/2019;07:05;Villeneuve-la-Garenne;Nuit avec eclairage public allumee;Temps couvert;Hors intersection;Route departementale;Non renseignee ;Scooter > 50 cm3 et <= 125 cm3;Sans changement de direction;Non renseignee ;22;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;1;0;Jeune adulte (18-24);Sans pieton;Avec moto;1 VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Leger;02/03/2015;09:20;Saint-Cloud;Plein jour;Autre;Intersection en T;Route departementale;Collision par le cote;VL seul;TourNon renseignee nt A'auche;Scooter > 50 cm3 et <= 125 cm3;27;Feminin;Indemne;Non renseignee ;2;2;0;1;1;0;Adulte jeune (25-34);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Leger;13/03/2015;09:00;Garches;Plein jour;Autre;Intersection en T;Voie commuNon renseignee le;Collision par le cote;Scooter > 50 cm3 et <= 125 cm3;TourNon renseignee nt A$roite;PL seul 3,5T <PTCA <= 7,5T;58;Feminin;Indemne;Non renseignee ;2;2;0;1;0;1;Senior actif (50-64);Sans pieton ;Avec moto;Aucun VL;Avec poids lourd;Senior actif (50-64);2 usagers
Leger;20/03/2015;18:55;Saint-Cloud;Plein jour;Autre;Intersection en T;Route departementale;Collision par l'arriere;Motocyclette > 125 cm3;Manoeuvre devitement;Autobus;56;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;0;0;Senior actif (50-64);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;16/12/2020;05:00;Gennevilliers;Nuit avec eclairage public allumee;Brouillard - fumee;Hors intersection;Route departementale;Non renseignee ;Scooter < 50 cm3;Traversant la  chaussee;Non renseignee ;18;Masculin;Blessee Leger;Non renseignee ;2;1;0;0;0;0;Jeune adulte (18-24);Sans pieton;Sans moto;Aucun VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Leger;15/08/2015;12:00;Villeneuve-la-Garenne;Plein jour;Autre;Intersection en T;Route departementale;Collision par le cote;VL seul;TourNon renseignee nt A'auche;Motocyclette > 125 cm3;25;Feminin;Indemne;Non renseignee ;2;2;0;1;1;0;Adulte jeune (25-34);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Leger;04/12/2019;16:40;Villeneuve-la-Garenne;Plein jour;Normale;Hors intersection;Autoroute;Non renseignee ;Non renseignee ;Manoeuvre devitement;Non renseignee ;27;Feminin;Blessee Leger;Non renseignee ;2;1;0;0;1;0;Adulte jeune (25-34);Sans pieton;Sans moto;1 VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Leger;05/09/2019;08:10;Villeneuve-la-Garenne;Plein jour;Normale;Hors intersection;Autoroute;Non renseignee ;Motocyclette > 125 cm3;Inconnue;Non renseignee ;52;Masculin;Blessee Leger;Non renseignee ;3;3;0;1;2;0;Senior actif (50-64);Sans pieton;Avec moto;2 VL;Sans poids lourd;Senior actif (50-64);3-5 usagers
